symbol,addr,refs,corroborated,class,sources
func_0x10074aec,0x10074AEC,1,0,"named global, no address recorded",0x100747E0
$T1145,0x100770A8,1,0,compiler constant (needs .rdata placement),0x10005C40
$T1144,0x100770B4,1,0,compiler constant (needs .rdata placement),0x10005C40
$T1149,0x100770B8,1,0,compiler constant (needs .rdata placement),0x10005C70
$T1151,0x100770BC,1,0,compiler constant (needs .rdata placement),0x10005CA0
$T1152,0x100770C0,1,0,compiler constant (needs .rdata placement),0x10005CA0
$T22302,0x100770C8,1,0,compiler constant (needs .rdata placement),0x10007650
BrK08F0CC$S805,0x100770CC,1,0,file-static stand-in (no 1:1 original global),0x10006A10
$T22288,0x100770D0,2,1,compiler constant (needs .rdata placement),0x100076B0
$T22300,0x100770DC,1,0,compiler constant (needs .rdata placement),0x10007630
BrK08F0E4$S811,0x100770E4,1,0,file-static stand-in (no 1:1 original global),0x10006A10
BrK08F0E8$S812,0x100770E8,1,0,file-static stand-in (no 1:1 original global),0x10006A10
$T22295,0x10077120,1,0,compiler constant (needs .rdata placement),0x100075F0
$T22297,0x10077124,1,0,compiler constant (needs .rdata placement),0x10007610
$T22299,0x10077128,1,0,compiler constant (needs .rdata placement),0x10007630
$T22303,0x1007712C,1,0,compiler constant (needs .rdata placement),0x10007650
$T22304,0x10077130,1,0,compiler constant (needs .rdata placement),0x10007650
$T22305,0x10077134,1,0,compiler constant (needs .rdata placement),0x10007650
$T22307,0x10077138,1,0,compiler constant (needs .rdata placement),0x10007680
$T22311,0x1007713C,1,0,compiler constant (needs .rdata placement),0x100076F0
$T22313,0x10077140,1,0,compiler constant (needs .rdata placement),0x10007710
$T22315,0x10077144,1,0,compiler constant (needs .rdata placement),0x10007730
kF300$S537,0x100772B0,1,0,file-static stand-in (no 1:1 original global),0x100151F0
$T168,0x100773D8,1,0,compiler constant (needs .rdata placement),0x1001DC90
$T147,0x10077410,7,1,compiler constant (needs .rdata placement),0x10022120
$T303,0x100775F0,1,0,compiler constant (needs .rdata placement),0x100343C0
$T1394,0x10077AB0,4,1,compiler constant (needs .rdata placement),0x100664F0
$T1395,0x10077B68,4,1,compiler constant (needs .rdata placement),0x100664F0
DAT_10078828,0x10078828,1,0,"named global, no address recorded",0x10035BB0
DAT_10078858,0x10078858,1,0,"named global, no address recorded",0x10035BB0
g_0940A4,0x1007B074,3,1,"named global, no address recorded",0x10002760 0x100028E0 0x10002E20
g_brCdEnabled,0x1007B074,7,1,"named global, no address recorded",0x100027B0 0x10002AF0 0x10002B20 0x10002C50 0x10002C70 0x10002D30 0x10002E80
g_0940A8,0x1007B078,1,0,"named global, no address recorded",0x10002760
g_br0940A8,0x1007B078,1,0,"named global, no address recorded",0x10002B20
g_br094294,0x1007B264,4,1,"named global, no address recorded",0x10004D30 0x100060A0
g_0A6498,0x100A5C58,1,0,"named global, no address recorded",0x1006C910
g_0A649C,0x100A5C5C,1,0,"named global, no address recorded",0x1006C950
g_0A64A0,0x100A5C60,1,0,"named global, no address recorded",0x1006C950
DAT_100a7514,0x100A7514,4,1,"named global, no address recorded",0x1001E130
DAT_100a7518,0x100A7518,4,1,"named global, no address recorded",0x1001E130
g_0A81C8,0x100A751C,1,0,"named global, no address recorded",0x100189C0
g_brRaceRules,0x100A9354,1,0,"named global, no address recorded",0x10019900
g_BrX0AA010,0x100A9360,1,0,"named global, no address recorded",0x10063A00
g_br0AA010,0x100A9360,1,0,"named global, no address recorded",0x1003E610
g_brAppContinue,0x100A98F8,1,0,"named global, no address recorded",0x1001CDB0
s_apfnAppState$S225,0x100A9900,1,0,file-static stand-in (no 1:1 original global),0x1001CF80
g_brGbi0A79E8,0x100A9A54,1,0,"named global, no address recorded",0x1001EB10
g_brGbi0A79F0,0x100A9A58,1,0,"named global, no address recorded",0x10023C90
g_br0AB3D8,0x100AAB78,1,0,"named global, no address recorded",0x10038060
g_br0AB3E0,0x100AAB80,1,0,"named global, no address recorded",0x1003CD00
g_i0AB3F4,0x100AAB94,2,1,"named global, no address recorded",0x10038220
g_AC300,0x100ABAA0,2,1,"named global, no address recorded",0x1001CD50 0x1005F220
k_AC570$S447,0x100ABD10,1,0,file-static stand-in (no 1:1 original global),0x10039CE0
k_AC598$S449,0x100ABD38,1,0,file-static stand-in (no 1:1 original global),0x10039DB0
k_AC59C$S450,0x100ABD3C,1,0,file-static stand-in (no 1:1 original global),0x10039DD0
k_AC5A0$S451,0x100ABD40,1,0,file-static stand-in (no 1:1 original global),0x10039DF0
k_AC628$S452,0x100ABDC8,1,0,file-static stand-in (no 1:1 original global),0x1003ADD0
k_AC62C$S453,0x100ABDCC,1,0,file-static stand-in (no 1:1 original global),0x10039E70
k_AC630$S454,0x100ABDD0,2,1,file-static stand-in (no 1:1 original global),0x10039E90
k_AC634$S455,0x100ABDD4,1,0,file-static stand-in (no 1:1 original global),0x10039EF0
k_AC638$S456,0x100ABDD8,1,0,file-static stand-in (no 1:1 original global),0x10039F10
k_AC640$S457,0x100ABDE0,1,0,file-static stand-in (no 1:1 original global),0x10039ED0
DAT_100abdf4,0x100ABDF4,1,0,"named global, no address recorded",0x10038C60
g_br0AC6A4,0x100ABE44,1,0,"named global, no address recorded",0x10040990
??_C@_0N@JCIO@AutoSave?4brf?$AA@,0x100ACAE8,1,0,"named global, no address recorded",0x1003B0B0
DAT_100b22d8,0x100B22D8,1,0,"named global, no address recorded",0x1005A070
DAT_100b2f04,0x100B2F04,2,1,"named global, no address recorded",0x10061440
g_aBr0B37D0,0x100B2FD8,3,1,"named global, no address recorded",0x10004D30
BrG_0B380C,0x100B3014,1,0,"named global, no address recorded",0x1005A6E0
g_Br0B380C,0x100B3014,1,0,"named global, no address recorded",0x10061280
g_0B39B0,0x100B31B8,2,1,"named global, no address recorded",0x100609B0 0x100609D0
g_0B3A68,0x100B3270,2,1,"named global, no address recorded",0x100609F0 0x10060A10
DAT_100b32b0,0x100B32B0,2,1,"named global, no address recorded",0x10060DB0 0x100612D0
DAT_100b32bc,0x100B32BC,2,1,"named global, no address recorded",0x10060DB0 0x100612D0
DAT_100b32c0,0x100B32C0,2,1,"named global, no address recorded",0x10060DB0 0x100612D0
g_brRaceNEntrant,0x100B3858,1,0,"named global, no address recorded",0x10062850
DAT_100b4c30,0x100B4C30,1,0,"named global, no address recorded",0x10069530
DAT_100b4d50,0x100B4D50,1,0,"named global, no address recorded",0x10069530
DAT_100b4e70,0x100B4E70,1,0,"named global, no address recorded",0x10069530
DAT_100b4ed0,0x100B4ED0,1,0,"named global, no address recorded",0x10069530
DAT_100b4f30,0x100B4F30,1,0,"named global, no address recorded",0x10069530
DAT_100b5050,0x100B5050,1,0,"named global, no address recorded",0x10069530
DAT_100b5170,0x100B5170,2,1,"named global, no address recorded",0x10069530
BrSndG0B5DE8,0x100B55F0,6,1,"named global, no address recorded",0x1006B4F0 0x1006B5B0 0x1006B670 0x1006B730 0x1006BA00 0x1006BF50
DAT_100b55f8,0x100B55F8,1,0,"named global, no address recorded",0x1006BA00
g_0B6540,0x100B5D48,1,0,"named global, no address recorded",0x1006BFF0
g_0B6C00,0x100B6408,2,1,"named global, no address recorded",0x1006BFD0 0x1006BFF0
g_0B6C48,0x100B6450,1,0,"named global, no address recorded",0x1006BFF0
DAT_100b64b0,0x100B64B0,1,0,"named global, no address recorded",0x1006C800
DAT_100b84a8,0x100B84A8,1,0,"named global, no address recorded",0x1006C880
g_0B94A8,0x100B8CB0,1,0,"named global, no address recorded",0x1006C850
g_0B9CB0,0x100B94B8,1,0,"named global, no address recorded",0x1006C820
DAT_100ba2d0,0x100BA2D0,1,0,"named global, no address recorded",0x1006C750
g_br0BBAC8$S1498,0x100BB2D0,1,0,file-static stand-in (no 1:1 original global),0x1006E3B0
g_a220B20,0x1021C650,3,1,"named global, no address recorded",0x10032680 0x1006A070
g_brCdTrackLast,0x1021C768,1,0,"named global, no address recorded",0x10002B20
g_220C3C,0x1021C76C,3,1,"named global, no address recorded",0x10002760 0x10002E20
g_brCdMediaOk,0x1021C76C,3,1,"named global, no address recorded",0x100027B0 0x10002B20 0x10002E80
g_220C40,0x1021C770,2,1,"named global, no address recorded",0x10002E20
g_brCdTrackFirst,0x1021C774,2,1,"named global, no address recorded",0x10002B20 0x10002C70
g_brEarEvent,0x1021C780,5,1,"named global, no address recorded",0x10002B20
DAT_1021c788,0x1021C788,1,0,"named global, no address recorded",0x100027A0
g_220CD0,0x1021C800,2,1,"named global, no address recorded",0x10002760 0x10002E20
g_brCdPlaying,0x1021C800,4,1,"named global, no address recorded",0x100027B0 0x10002B20 0x10002C70 0x10002E80
g_brCdTrackCur,0x1021C804,5,1,"named global, no address recorded",0x100027B0 0x10002B20 0x10002C70 0x10002E80
g_220CD8,0x1021C808,1,0,"named global, no address recorded",0x10002E20
DAT_1021c81c,0x1021C81C,1,0,"named global, no address recorded",0x10005E80
DAT_1021c908,0x1021C908,1,0,"named global, no address recorded",0x10005E80
g_brH220DDC,0x1021C90C,3,1,"named global, no address recorded",0x10004F90 0x10005E80
g_a10221288,0x1021CDB8,1,0,"named global, no address recorded",0x10006100
DAT_1021ce40,0x1021CE40,1,0,"named global, no address recorded",0x10005E80
g_br221314,0x1021CE44,2,1,"named global, no address recorded",0x10004F90
g_i10221318,0x1021CE48,2,1,"named global, no address recorded",0x10006100
DAT_1021ce4c,0x1021CE4C,1,0,"named global, no address recorded",0x10005E80
g_brH221324,0x1021CE54,3,1,"named global, no address recorded",0x10004F20 0x10005E80
DAT_1021ce58,0x1021CE58,1,0,"named global, no address recorded",0x10005E80
g_br22AAA8,0x102265D8,1,0,"named global, no address recorded",0x10004F20
g_br22AAF4,0x10226624,2,1,"named global, no address recorded",0x10004F50
g_brH22AF04,0x10226A34,3,1,"named global, no address recorded",0x10004F50 0x10005E80
DAT_10226a54,0x10226A54,1,0,"named global, no address recorded",0x10005E80
DAT_10226a58,0x10226A58,1,0,"named global, no address recorded",0x10005E80
DAT_10226a5c,0x10226A5C,1,0,"named global, no address recorded",0x10005E80
g_h1022AF30,0x10226A60,4,1,"named global, no address recorded",0x10005E80 0x10006100
DAT_10226a64,0x10226A64,1,0,"named global, no address recorded",0x10005E80
DAT_10226e78,0x10226E78,1,0,"named global, no address recorded",0x10007F10
g_BrDPlay$S841,0x102732E4,1,0,file-static stand-in (no 1:1 original global),0x10009BA0
g_brP277B40,0x10273328,3,1,"named global, no address recorded",0x10035870 0x1003D6F0
g_BrCarVisAny,0x10273350,3,1,"named global, no address recorded",0x10009FC0
g_BrCarVisOpaque,0x10273648,2,1,"named global, no address recorded",0x10009FC0
g_363F68,0x1035F750,1,0,"named global, no address recorded",0x1000CB80
g_364308,0x1035FAF0,1,0,"named global, no address recorded",0x1000CB80
DAT_104ab4f0,0x104AB4F0,1,0,"named global, no address recorded",0x10013FC0
DAT_104ab504,0x104AB504,2,1,"named global, no address recorded",0x10013F00
DAT_104abb30,0x104ABB30,1,0,"named global, no address recorded",0x100168B0
g_br4B0358,0x104ABB40,1,0,"named global, no address recorded",0x10016820
g_4B035C,0x104ABB44,1,0,"named global, no address recorded",0x10016830
g_br4B035C,0x104ABB44,2,1,"named global, no address recorded",0x10016840 0x10016850
g_4B0360,0x104ABB48,1,0,"named global, no address recorded",0x10016810
g_br4B0360,0x104ABB48,1,0,"named global, no address recorded",0x10016800
DAT_104af5c8,0x104AF5C8,1,0,"named global, no address recorded",0x1006C8B0
DAT_104b05c8,0x104B05C8,1,0,"named global, no address recorded",0x1006C8B0
g_pfn57546C,0x104B1614,1,0,"named global, no address recorded",0x10002B20
g_575470,0x104B1618,1,0,"named global, no address recorded",0x10002760
g_pfn575480,0x104B1628,1,0,"named global, no address recorded",0x10002B20
g_4B16A0,0x104B16A0,1,0,"named global, no address recorded",0x10017F60
g_4B16AC,0x104B16AC,1,0,"named global, no address recorded",0x10017F60
g_brSegHostBase,0x104B16E0,1,0,"named global, no address recorded",0x100189E0
g_brSegN64Base,0x104B16E4,1,0,"named global, no address recorded",0x100189E0
g_br675540,0x105B16E8,1,0,"named global, no address recorded",0x10018A40
g_br67B548,0x105B76F0,1,0,"named global, no address recorded",0x10019000
g_brRca67B548,0x105B76F0,1,0,"named global, no address recorded",0x10018A30
g_brRca67B54C,0x105B76F4,1,0,"named global, no address recorded",0x10018A30
g_br67B550,0x105B76F8,1,0,"named global, no address recorded",0x10019000
g_67D550,0x105B96F8,1,0,"named global, no address recorded",0x100189C0
g_brP680584,0x105BC72C,2,1,"named global, no address recorded",0x10035870 0x100592D0
g_brActivateGate1,0x105BC740,1,0,"named global, no address recorded",0x10070370
g_brActivateGate2,0x105BC744,1,0,"named global, no address recorded",0x10070370
g_brActivateGate3,0x105BC748,1,0,"named global, no address recorded",0x10070370
g_brRaceBeginStage,0x105BC760,1,0,"named global, no address recorded",0x10019900
g_br6806B0,0x105BC858,2,1,"named global, no address recorded",0x10019810 0x10019830
g_brAppFrame,0x105CCBB8,1,0,"named global, no address recorded",0x1001CDB0
g_690A14,0x105CCBBC,1,0,"named global, no address recorded",0x1001CD50
g_brAppState,0x105CCBBC,3,1,"named global, no address recorded",0x1001CD70 0x1001CDA0 0x1001CF80
g_brGbi4C1694,0x105CE2D4,1,0,"named global, no address recorded",0x10021250
g_brGbi4C5174,0x105D17C4,1,0,"named global, no address recorded",0x1001EB30
g_brTexScanState,0x105E17FC,6,1,"named global, no address recorded",0x100294F0 0x10029570 0x10029590
DAT_10697a48,0x10697A48,1,0,"named global, no address recorded",0x100293F0
DAT_10697a50,0x10697A50,1,0,"named global, no address recorded",0x100293F0
DAT_106b7ab8,0x106B7AB8,1,0,"named global, no address recorded",0x10041DB0
DAT_106e7714,0x106E7714,3,1,"named global, no address recorded",0x1001E130
g_pfnStep$S53,0x106E79F4,2,1,file-static stand-in (no 1:1 original global),0x1002E317 0x1002E324
BrG_6C1628,0x106E86B8,1,0,"named global, no address recorded",0x1002BF37
DAT_106e9a2c,0x106E9A2C,3,1,"named global, no address recorded",0x1001E130
g_BrLogArg,0x106E9D80,2,1,"named global, no address recorded",0x1002F258 0x1002F26B
BrG_6C2CF8,0x106E9D88,2,1,"named global, no address recorded",0x10009FC0
BrG_6C6490,0x106ED520,1,0,"named global, no address recorded",0x10009FC0
BrG_6C65EC,0x106ED67C,6,1,"named global, no address recorded",0x10062500 0x10062550 0x100625A0
BrG_6C6614,0x106ED6A4,1,0,"named global, no address recorded",0x10009FC0
DAT_106ed6a8,0x106ED6A8,5,1,"named global, no address recorded",0x100627B0
BrG_6C661C,0x106ED6AC,3,1,"named global, no address recorded",0x10009FC0 0x100627B0
DAT_106ed6b0,0x106ED6B0,2,1,"named global, no address recorded",0x100627B0
BrG_6C6624,0x106ED6B4,3,1,"named global, no address recorded",0x10009FC0 0x100627B0
g_brRace6EECC8,0x106EECC8,1,0,"named global, no address recorded",0x1002F6C0
g_6C7C44,0x106EECD4,1,0,"named global, no address recorded",0x10030F40
g_br6C7C68,0x106EECF8,1,0,"named global, no address recorded",0x10003230
BrG_6C7CB8,0x106EED48,2,1,"named global, no address recorded",0x1005A780
g_A9BFD0,0x10AC3060,1,0,"named global, no address recorded",0x100353C0
g_brAC3060$S1068,0x10AC3060,2,1,file-static stand-in (no 1:1 original global),0x100353D0
DAT_10ac306c,0x10AC306C,1,0,"named global, no address recorded",0x10035870
g_aBrA9C0B8,0x10AC3148,1,0,"named global, no address recorded",0x10036650
DAT_10ac315c,0x10AC315C,1,0,"named global, no address recorded",0x10036670
DAT_10ac408c,0x10AC408C,1,0,"named global, no address recorded",0x10035870
g_brPA9D008,0x10AC4098,2,1,"named global, no address recorded",0x1003CD00 0x100515B0
g_aBrA9D618,0x10AC46A0,1,0,"named global, no address recorded",0x10040790
DAT_10ac53e8,0x10AC53E8,2,1,"named global, no address recorded",0x10058300 0x10058380
g_aBrAA2538,0x10AC5890,12,1,"named global, no address recorded",0x10036100 0x10051550 0x10051580 0x100515B0
DAT_10ac5a48,0x10AC5A48,2,1,"named global, no address recorded",0x10038980
DAT_10ac5a4c,0x10AC5A4C,1,0,"named global, no address recorded",0x10038980
g_brAA26F5,0x10AC5A4D,1,0,"named global, no address recorded",0x10040790
g_brAA2854,0x10AC5BAC,6,1,"named global, no address recorded",0x10040900 0x10040930 0x10040960 0x10040990 0x100409C0 0x100409F0
DAT_10ac5bb4,0x10AC5BB4,1,0,"named global, no address recorded",0x10037720
g_AA287C,0x10AC5BD4,1,0,"named global, no address recorded",0x1003D560
g_brAA287C,0x10AC5BD4,7,1,"named global, no address recorded",0x10036650 0x1003D580 0x1003D5A0 0x1003D5C0 0x1003D5E0 0x1003D600 0x1003D6F0
g_iAA2880,0x10AC5BD8,1,0,"named global, no address recorded",0x100381B0
g_brAA2884,0x10AC5BDC,3,1,"named global, no address recorded",0x1003D6F0
g_brAA2888,0x10AC5BE0,2,1,"named global, no address recorded",0x1003D6F0
g_brAA288C,0x10AC5BE4,1,0,"named global, no address recorded",0x10051550
g_brAA28A4,0x10AC5BFC,1,0,"named global, no address recorded",0x10040790
DAT_10ac5c2c,0x10AC5C2C,2,1,"named global, no address recorded",0x10058300
g_brAA28D8,0x10AC5C30,6,1,"named global, no address recorded",0x1003BFF0 0x1003C020 0x1003C050
DAT_10ac5c40,0x10AC5C40,1,0,"named global, no address recorded",0x10038C60
g_brAA28F0,0x10AC5C48,1,0,"named global, no address recorded",0x10040900
DAT_10ac5c4c,0x10AC5C4C,1,0,"named global, no address recorded",0x100409F0
DAT_10ac5c50,0x10AC5C50,1,0,"named global, no address recorded",0x10040930
DAT_10ac5c54,0x10AC5C54,1,0,"named global, no address recorded",0x10040960
g_brPhaseAA2904,0x10AC5C5C,4,1,"named global, no address recorded",0x10038C60 0x100403A0 0x10040410 0x100404A0
g_brPhaseAA292C,0x10AC5C84,1,0,"named global, no address recorded",0x10040410
g_brPhaseAA293C,0x10AC5C94,1,0,"named global, no address recorded",0x100404A0
DAT_10ac5cbc,0x10AC5CBC,1,0,"named global, no address recorded",0x10038C60
g_brAA2970,0x10AC5CC8,2,1,"named global, no address recorded",0x10040600
g_brPhaseAA2974,0x10AC5CCC,1,0,"named global, no address recorded",0x100403A0
g_brAA29B0,0x10AC5D08,1,0,"named global, no address recorded",0x1003E610
g_AA29C8,0x10AC5D20,4,1,"named global, no address recorded",0x1003EC10 0x1003EC90 0x1003ECD0 0x1003ED50
g_brPAA29D4,0x10AC5D2C,3,1,"named global, no address recorded",0x10035870 0x10036700
g_brPAA29E4,0x10AC5D3C,2,1,"named global, no address recorded",0x10036040
g_AA29F4,0x10AC5D4C,3,1,"named global, no address recorded",0x1003EC30 0x1003ECB0 0x1003ECF0
DAT_10ac5d84,0x10AC5D84,4,1,"named global, no address recorded",0x10041DB0 0x10058300 0x10058380
DAT_10ac5d98,0x10AC5D98,1,0,"named global, no address recorded",0x100409C0
g_BrDikEdge,0x10AC5DE0,3,1,"named global, no address recorded",0x10058FA0 0x10059040
g_brAA2AD4,0x10AC5E34,2,1,"named global, no address recorded",0x10040660 0x100406A0
DAT_10ac5e50,0x10AC5E50,1,0,"named global, no address recorded",0x10037720
DAT_10ac6050,0x10AC6050,1,0,"named global, no address recorded",0x10037720
