va,size,class,reason
0x1007607B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076086,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076091,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007609C,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100760A7,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100760B2,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100760BD,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100760C8,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100760D3,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x100760E0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100760EB,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100760F6,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076101,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007610C,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076117,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076122,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007612D,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076138,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076143,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076150,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007615B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076166,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076171,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007617C,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076187,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076192,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007619D,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100761A8,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100761B3,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x100761C0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100761CB,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100761D6,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100761E1,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100761EC,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100761F7,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076202,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007620D,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076218,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076223,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076230,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007623B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076246,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076251,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007625C,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076267,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076272,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007627D,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076288,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076293,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007629E,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100762A9,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100762B4,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100762BF,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100762CA,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100762D5,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100762E0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100762EB,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076300,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007630B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076316,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076321,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007632C,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076337,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076342,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007634D,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076358,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076363,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007636E,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076379,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076384,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007638F,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007639A,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763A5,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763B0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763BB,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763C6,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763D1,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763DC,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763E7,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763F2,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100763FD,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076408,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076413,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x1007642B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076436,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076441,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007644C,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076457,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076462,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007646D,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076480,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007648B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076496,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764A1,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764AC,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764B7,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764C2,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764CD,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764D8,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764E3,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764EE,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100764F9,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076504,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007650F,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007651A,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076525,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076530,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007653B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076546,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076550,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007655B,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076566,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076571,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007657C,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076587,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10076592,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007659D,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100765A8,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100765B3,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100765BE,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100765C9,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100765D4,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x100765EB,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x100765F6,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076600,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007660B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076620,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007662B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10076640,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x1007664B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074610,104,crt_helper,__aulldiv compiler intrinsic; emitted by cl, reproduced at link
0x10074680,52,crt_helper,__allmul compiler intrinsic; emitted by cl, reproduced at link
0x100748B0,170,crt_helper,__alldiv compiler intrinsic; emitted by cl, reproduced at link
0x10074A30,173,crt_helper,_DllMainCRTStartup entry; CRT startup, reproduced at link
0x10074739,23,eh_funclet,no prologue; parent-frame [ebp-0x1c] read + call 0x10074770; catch funclet
0x10074878,20,eh_funclet,no prologue; parent-frame [ebp-0x20] read + call 0x10074770; catch funclet
0x10074750,19,eh_funclet,EH epilogue fragment (fs:[0] unwind + ret 0x10); not a function
0x1007488C,19,eh_funclet,EH epilogue fragment (fs:[0] unwind + ret 0x14); not a function
0x100747BD,29,eh_funclet,EH epilogue fragment (esp restore + fs:[0] unwind); not a function
0x10075030,27,eh_funclet,no prologue; parent-frame [ebp-0x10] read; throw-site funclet
0x10075060,27,eh_funclet,no prologue; parent-frame [ebp-0x10] read; throw-site funclet
0x10074580,47,crt_helper,_chkstk stack probe; emitted by cl for large frames, reproduced at link
0x10074560,6,import_thunk,single jmp dword ptr [0x118f0560]; IAT thunk
0x10074572,6,import_thunk,single jmp dword ptr [0x118f04e4]; IAT thunk
0x100748A0,6,import_thunk,single jmp dword ptr [0x118f0538]; IAT thunk
0x10074AE0,6,import_thunk,single jmp dword ptr [0x118f04d8]; IAT thunk
0x10074AEC,6,import_thunk,single jmp dword ptr [0x118f0544]; IAT thunk
0x100747B0,13,eh_funclet,unwind funclet: reads [ebp-0x14] without establishing ebp; calls 0x100747E0
0x10074F70,11,eh_funclet,unwind funclet: reads [ebp-0x10] without establishing ebp; calls 0x1007456C
0x100751D0,11,eh_funclet,unwind funclet: reads [ebp+4] without establishing ebp; calls 0x1007456C
0x10076420,11,eh_funclet,unwind funclet: reads [ebp+4] without establishing ebp; calls 0x1007456C
0x100765E0,11,eh_funclet,unwind funclet: reads [ebp-0x10] without establishing ebp; calls 0x1007456C
0x10074B70,11,eh_funclet,unwind funclet: lea ecx,[ebp-0x220] then jmp into 0x10008D60
0x10074733,6,eh_funclet,mid-function fragment (odd address); restores edi/esi from the parent frame
0x1007486F,9,eh_funclet,mid-function fragment (odd address); restores ebx/edi/esi from the parent frame
0x1007296C,6,import_thunk,"ff 25 [0x118F06DC] -- jmp through the import table; linker output, reproduced at link"
0x10072996,6,import_thunk,"ff 25 [0x118F06F4] -- jmp through the import table; linker output, reproduced at link"
0x100729D2,6,import_thunk,"ff 25 [0x118F06E8] -- jmp through the import table; linker output, reproduced at link"
0x100729EA,6,import_thunk,"ff 25 [0x118F06D8] -- jmp through the import table; linker output, reproduced at link"
0x100729F6,6,import_thunk,"ff 25 [0x118F06D0] -- jmp through the import table; linker output, reproduced at link"
0x100729FC,6,import_thunk,"ff 25 [0x118F06CC] -- jmp through the import table; linker output, reproduced at link"
0x10073704,3,data_table,"NOT CODE. 0x100736E0..0x10073720+ is a table of 16-byte records, each 'd8 86 07 10 cN 00 00 00 0c cN 00 80 00 00 00 00' with only the two cN bytes changing. The map read two mid-record byte pairs as 'ret 0' and 'ret 0x8000'; a function that pops 32KB of arguments is the tell"
0x10073709,3,data_table,"NOT CODE. Same 16-byte record table as 0x10073704 -- see that row"
