symbol,addr,refs,corroborated,class,sources
BrDxNameDDrawDll,0x100A99DC,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxNameDDrawCreate,0x100A99C8,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxMsgLoadDDrawFailed,0x100A99A8,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxMsgCreateDDrawFailed,0x100A9990,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxMsgQiDDraw2Failed,0x100A9978,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxMsgCoopLevelFailed,0x100A995C,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrDxMsgCreateSurfaceFailed,0x100A9940,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrIidIDirectDraw2,0x10077CB8,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrIidIDirectDrawSurface3,0x10077CF8,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
BrIidIDirectDrawSurface4,0x10077D08,1,1,"BrDxDetect string/GUID; original bytes at the address verified equal to the source literal (src/core/startup/br_dxver.c)",0x1001D8A0
