func_va,offset,value,comment
0x100096A0,0x111,0x10AC5890,BrDPlaySysMsgLog S710+50: orig 0x97ae store -1 [eax+10ac5890]
0x100096A0,0x11B,0x10AC5894,BrDPlaySysMsgLog S710+54: orig 0x97b8 store 0 [eax+10ac5894]
0x100096A0,0x128,0x100A5C0C,BrDPlaySysMsgLog g_szDestroy: orig 0x97c6 push 100a5c0c
0x100096A0,0x14B,0x100A5C4C,BrDPlaySysMsgLog g_szUnknown: orig 0x97e9 mov edi 100a5c4c
0x100096A0,0x156,0x100A5BF4,BrDPlaySysMsgLog g_szJoined: orig 0x97f4 push 100a5bf4
0x100096A0,0x17D,0x100A5BF4,BrDPlaySysMsgLog g_szJoined: orig 0x981b push 100a5bf4
0x100096A0,0x190,0x105BC72C,BrDPlaySysMsgLog S710+48: orig 0x982e reads [105bc72c] (fused struct - handler cell)
0x10002460,0x5D,0x10AF2094,BrRaceSelFromMenu g_aBrRaceCarSel: orig 0x24c1 mov edx 10af2094; edx indexes [+11c]/[+0]/+2b68 both sides
0x100339C0,0x5,0x100775D4,BrPfxUpdateB4AC kPfx0_7: orig 0x339c9 fmul [100775d4]
0x100339C0,0x84,0x100775D8,BrPfxUpdateB4AC kPfx19_62: orig 0x33a4a fmul [100775d8]
0x100339C0,0x90,0x100775DC,BrPfxUpdateB4AC kPfx102: orig 0x33a50 fld [100775dc]
0x10030770,0x15,0xFFFE8287,BrRcaFixup BrSegSetBasesG: orig call, callee stores base pair to 104b16e0/e4
0x10030770,0x170,0xFFFE825C,BrRcaFixup BrSwapRec24Array: orig call, callee loops records via 0x10018b60
0x10030770,0x1F5,0xFFFE8697,BrRcaFixup BrDlIsRegistered: orig call, callee is the null->1 predicate
0x10030770,0x204,0xFFFE86C8,BrRcaFixup BrDlRegister: orig call, callee does the registration work
0x10030770,0x3EE,0xFFFE849E,BrRcaFixup BrDlIsRegistered second branch
0x10030770,0x3FD,0xFFFE84CF,BrRcaFixup BrDlRegister second branch
0x10014960,0x289,0x00001C23,BrSub_100173F0 BrSub_10019250 stale-named: orig 0x14be8 `call 0x10016810` (tail cleanup call)
0x10039C70,0x1,0x100A9360,BrMenuCap0730 S445+c: orig 0x39c70 mov eax [100a9360]
0x10039C70,0xA,0x10AC5C00,BrMenuCap0730 S445+50: orig 0x39c79 mov al [10ac5c00]
0x10039C70,0x13,0x10AC5C10,BrMenuCap0730 S445+58: orig 0x39c80 movsx [10ac5c10]
0x10039C70,0x1E,0x10AC5C04,BrMenuCap0730 S445+54: orig 0x39c8c mov ecx [10ac5c04]
0x10039C70,0x32,0x10AC5BFC,BrMenuCap0730 S445+4c: orig 0x39ca0 mov ecx [10ac5bfc]
0x10039C70,0x45,0x100ABDE8,BrMenuCap0730 S445+10: orig 0x39cb4 mov eax [100abde8]
0x1003AB00,0x15,0x10AC5BF4,BrMenuText15A0 S445+44: orig 0x3ab14 mov eax [10ac5bf4]
0x1003AB00,0x27,0x10AC5C10,BrMenuText15A0 S445+58: orig 0x3ab24 movsx [10ac5c10]
0x1003AB00,0x37,0x10AC5C1C,BrMenuText15A0 S445+5c: orig 0x3ab35 sub eax [10ac5c1c]
